Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALBANIA,304.0,287.0,119.0,184.0,371.0,317.0,354.0,470.0,557.0,645.0,748.0,937.0,1127.0,1420.0,1856.0,2417.0,2932.0,3514.0,3256.0,3673.0,4131.0,4736.0,5118.0,5927.0,6406.0,2658.0,5689.0,7543.8
ALGERIA,520.0,605.0,635.0,678.0,749.0,866.0,901.0,988.0,1166.0,1234.0,1443.0,1638.0,1743.0,1772.0,1912.0,2070.0,2395.0,2634.0,2733.0,2301.0,1710.0,2039.0,2451.0,2657.0,2371.0,591.0,125.0,1398.0
AMERICAN SAMOA,34.0,35.0,26.0,36.0,41.0,44.0,36.0,0.0,0.0,0.0,24.5,25.3,24.1,24.3,23.5,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,0.9,0.0,0.0
ANDORRA,0.0,0.0,0.0,0.0,9422.0,10991.0,11351.0,11507.0,11601.0,11668.0,11049.0,10737.0,10743.0,10194.0,9112.0,8551.0,7983.0,7900.0,7676.0,7797.0,7850.0,8025.0,8152.0,8328.0,8235.0,5207.0,5422.0,8426.7
ANGOLA,9.0,21.0,45.0,52.0,45.0,51.0,67.0,91.0,107.0,194.0,210.0,121.0,195.0,294.0,366.0,425.0,481.0,528.0,650.0,595.0,592.0,397.0,261.0,218.0,218.0,64.0,64.0,130.0
ANGUILLA,107.0,86.0,114.0,114.0,107.0,112.0,105.0,111.0,109.0,121.0,143.0,167.0,164.0,128.0,112.0,118.0,124.0,129.0,151.0,177.0,186.0,176.0,151.0,87.0,166.0,41.1,28.7,95.8
ANTIGUA AND BARBUDA,447.0,498.0,526.0,570.0,560.0,634.0,624.0,528.0,623.0,769.0,712.0,838.0,935.0,863.0,944.0,788.0,848.0,819.0,777.0,771.0,894.0,874.0,1040.0,1064.0,1035.0,276.0,250.0,642.4
ARGENTINA,2289.0,2614.0,2764.0,3012.0,2898.0,2909.0,2620.0,2820.0,2995.0,3457.0,3823.0,4173.0,4562.0,4700.0,4308.0,6800.0,6703.0,6497.0,6510.0,7165.0,6816.0,9986.0,9964.0,10394.0,11131.0,3096.0,460.0,7503.0
ARMENIA,12.0,13.0,23.0,32.0,41.0,45.0,123.0,162.0,206.0,263.0,319.0,382.0,511.0,558.0,575.0,684.0,758.0,963.0,1084.0,1204.0,1192.0,1260.0,1495.0,1652.0,1894.0,375.0,870.0,1666.0
ARUBA,912.0,957.0,947.0,906.0,972.0,1211.0,1178.0,1225.0,1184.0,1304.0,1286.0,1285.0,1254.0,1383.0,1420.0,1394.0,1469.0,1481.0,1667.0,1739.0,1832.0,1758.0,1863.0,1897.0,1951.0,623.0,943.0,1711.0
AUSTRALIA,3726.0,4165.0,4318.0,4167.0,4459.0,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,246.0,3694.0
AUSTRIA,17173.0,17090.0,16647.0,17352.0,17467.0,17982.0,18180.0,18611.0,19078.0,19374.0,19952.0,20269.0,20773.0,21935.0,21355.0,22004.0,23012.0,24151.0,24813.0,25291.0,26728.0,28121.0,29460.0,30816.0,31884.0,15091.0,12728.0,26215.0
AZERBAIJAN,93.0,210.0,306.0,483.0,602.0,681.0,767.0,834.0,1038.0,1279.0,1177.0,1194.0,1333.0,1899.0,1830.0,1963.0,2239.0,2484.0,2509.0,2298.0,2006.0,2249.0,2697.0,2850.0,3170.0,796.0,792.0,1602.0
BAHAMAS,3239.0,3416.0,3446.0,3348.0,3648.0,4204.0,4183.0,4406.0,4594.0,5004.0,4779.0,4731.0,4601.0,4394.0,4645.0,5255.0,5588.0,5940.0,6151.0,6320.0,6112.0,6265.0,6136.0,6622.0,7250.0,1794.5,2101.0,7000.7
BAHRAIN,2311.0,1988.0,2600.0,2898.0,3280.0,3869.0,4388.0,4831.0,4844.0,5667.0,6313.0,7289.0,7833.0,8631.0,8861.0,11952.0,6732.0,8062.0,9163.0,10452.0,9670.0,10158.0,11374.0,12045.0,11061.0,1909.0,3612.0,9949.0
BANGLADESH,156.0,166.0,182.0,172.0,173.0,199.0,207.0,207.0,245.0,271.0,208.0,200.0,289.0,467.0,267.0,139.0,157.0,160.0,104.0,134.0,126.0,182.0,237.0,267.0,323.0,182.0,135.0,0.0
BARBADOS,927.0,957.0,990.0,1019.0,947.0,1078.0,1035.0,1021.0,1090.0,1273.0,1111.0,1102.0,1191.0,1165.0,1154.0,1197.0,1187.0,1053.0,1079.0,1079.0,1179.0,1227.0,1345.0,1356.0,966.0,545.8,242.0,897.6
BELARUS,0.0,0.0,0.0,363.0,315.0,2030.0,1852.0,1907.0,1729.0,1816.0,4738.0,5276.0,5283.0,5262.0,4872.0,5674.0,5877.0,6130.0,6242.0,5375.0,4386.0,10935.0,11060.0,11502.0,11832.0,3598.0,3361.0,4920.0
BELGIUM,5560.0,5829.0,6037.0,6179.0,6369.0,6457.0,6452.0,6720.0,6690.0,6710.0,6747.0,6995.0,7045.0,7165.0,6815.0,7186.0,7494.0,7560.0,7684.0,7887.0,8355.0,7481.0,8385.0,9119.0,9343.0,2584.0,3243.0,8220.0
