Country,Arrival by Region,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALBANIA,Africa,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,3.0,0.5,1.0,1.0,1.0,3.0,2.4,2.8,3.5,24.3,1.7,3.2,4.6
ALBANIA,Americas,0.0,0.0,0.0,0.0,11.0,14.0,14.0,16.0,19.0,26.0,35.0,42.0,52.0,61.0,60.0,62.0,70.0,74.0,73.3,90.0,96.8,105.0,125.3,148.8,156.7,30.0,115.8,177.4
ALBANIA,East Asia and the Pacific,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,8.0,10.0,15.0,28.0,11.0,17.0,20.0,23.6,31.0,33.0,36.3,54.4,68.1,68.2,5.0,8.4,26.8
ALBANIA,Europe,0.0,0.0,0.0,0.0,322.0,295.0,320.0,439.0,532.0,610.0,703.0,857.0,1061.0,1335.0,1513.0,2239.0,2739.0,3214.0,2963.6,3423.7,3759.4,4490.6,4694.3,5331.6,5796.1,2616.9,5172.8,6921.7
ALBANIA,Middle East,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.6,3.6,4.8,5.6,7.2,11.7,1.8,37.0,41.9
ALBANIA,South Asia,0.0,0.0,0.0,0.0,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1.0,1.0,1.0,1.3,1.6,2.0,2.4,3.1,13.5,0.8,21.0,10.9
ALBANIA,Other not classified,0.0,0.0,0.0,0.0,22.0,4.0,5.0,11.0,1.0,4.0,3.0,28.0,2.0,6.0,252.0,100.0,103.0,202.0,189.7,123.2,233.8,94.4,232.9,364.5,335.6,1.6,330.4,360.4
ALGERIA,Africa,43.0,35.0,34.0,37.0,51.0,56.0,63.0,72.0,112.0,131.0,161.0,160.0,158.0,194.0,258.0,311.0,554.0,635.0,591.0,541.6,659.0,900.6,1176.6,1428.7,1478.4,409.9,13.7,539.3
ALGERIA,Americas,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,7.0,8.0,10.0,10.0,11.0,13.0,10.0,12.0,12.0,9.6,10.3,10.0,12.2,13.1,20.8,16.1,3.3,2.0,11.6
ALGERIA,East Asia and the Pacific,2.0,1.0,1.0,3.0,4.0,5.0,5.0,9.0,8.0,9.0,15.0,19.0,27.0,39.0,47.0,42.0,55.0,55.0,46.2,49.8,75.0,57.5,63.2,84.7,67.6,11.8,10.2,21.5
ALGERIA,Europe,38.0,46.0,48.0,57.0,73.0,99.0,107.0,140.0,157.0,198.0,228.0,253.0,271.0,268.0,284.0,242.0,219.0,240.0,244.7,257.6,289.0,310.8,375.7,427.1,321.3,71.7,34.4,139.7
ALGERIA,Middle East,13.0,10.0,9.0,8.0,10.0,13.0,18.0,24.0,23.0,23.0,29.0,37.0,45.0,45.0,54.0,50.0,61.0,40.0,72.5,80.9,50.0,41.6,79.8,57.4,50.3,13.0,6.7,45.3
ALGERIA,Other not classified,422.0,511.0,540.0,571.0,608.0,690.0,705.0,737.0,861.0,865.0,1002.0,1159.0,1232.0,1215.0,1256.0,1415.0,1493.0,1652.0,1768.6,1361.2,627.0,716.7,742.4,638.4,437.3,81.3,58.0,640.7
AMERICAN SAMOA,Americas,0.0,0.0,0.0,7.0,15.0,8.0,7.3,0.0,0.0,0.0,6.9,7.2,0.0,7.638,7.876,8.0,7.1,6.9,5.4,4.8,4.7,4.6,4.9,4.5,0.0,0.0,0.0,0.0
AMERICAN SAMOA,East Asia and the Pacific,0.0,0.0,0.0,28.0,26.0,35.0,28.1,0.0,0.0,0.0,16.9,17.6,0.0,16.148,15.165,14.6,15.0,15.2,14.9,16.3,15.1,14.9,14.5,15.1,0.0,0.0,0.0,0.0
AMERICAN SAMOA,Europe,0.0,0.0,0.0,0.4,0.5,0.9,0.5,0.0,0.0,0.0,0.4,0.4,0.0,0.387,0.41,0.367,0.38,0.373,0.4,0.4,0.4,0.5,0.5,0.5,0.0,0.0,0.0,0.0
AMERICAN SAMOA,Other not classified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
ANDORRA,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.0,2283.0,2330.0,2596.8,2741.1,2921.6,2959.0,3006.4,1832.3,1902.0,3411.6
ANDORRA,Other not classified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,33.0,66.5,77.8,81.3,83.0,83.6,39.2,46.8,143.5
ANGOLA,Africa,2.0,5.0,14.0,7.0,8.0,8.0,15.0,17.0,31.0,42.0,43.0,19.0,33.0,37.0,46.0,73.0,148.0,173.0,223.0,105.5,176.0,52.7,40.7,34.7,31.3,8.1,11.7,25.2
ANGOLA,Americas,1.0,2.0,3.0,8.0,6.0,8.0,9.0,15.0,15.0,34.0,36.0,21.0,38.0,59.0,76.0,83.0,58.0,68.0,74.0,83.6,105.1,61.7,33.6,37.8,32.7,9.9,8.8,18.8
ANGOLA,East Asia and the Pacific,0.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,16.0,15.0,15.0,28.0,59.0,66.0,81.0,88.0,94.0,106.0,65.8,98.1,50.7,40.1,29.2,27.5,3.2,6.6,7.4
ANGOLA,Europe,6.0,13.0,27.0,34.0,29.0,31.0,38.0,52.0,55.0,101.0,110.0,63.0,89.0,130.0,161.0,170.0,170.0,177.0,231.0,326.0,198.0,213.1,134.5,105.7,111.9,37.7,30.0,66.0
ANGOLA,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0,9.0,3.0,6.0,8.0,6.6,4.9,9.8,5.4,4.3,5.5,1.9,3.5,6.2
ANGOLA,South Asia,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,6.0,11.0,10.0,14.0,10.0,8.0,7.5,10.3,9.4,6.7,6.2,8.6,2.8,3.2,6.2
ANGUILLA,Americas,35.3,33.7,36.6,32.5,33.45,33.1,38.7,37.48,39.3,44.8,52.1,61.7,63.8,57.0,49.0,53.1,56.6,55.3,59.5,60.6,63.1,67.4,57.1,45.8,80.8,21.2,25.2,63.7
ANGUILLA,Europe,2.4,2.9,5.46,10.1,11.7,9.4,8.0,5.4,6.3,7.7,8.1,9.2,10.8,8.9,7.46,7.5,7.5,7.2,7.4,8.0,7.9,8.9,8.4,6.2,10.7,3.1,2.1,8.0
ANGUILLA,Other not classified,0.9,0.8,1.1,1.2,1.6,1.2,1.2,1.1,1.3,1.5,1.9,2.0,3.1,2.3,1.4,1.3,1.65,2.2,2.1,2.4,2.2,2.9,2.7,2.5,3.9,1.1,1.1,2.3
ANTIGUA AND BARBUDA,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.6,0.6,0.1,0.4,1.0
ANTIGUA AND BARBUDA,Americas,124.0,128.0,138.0,134.0,115.0,107.0,107.0,108.0,122.0,129.0,128.0,139.0,141.0,152.0,138.5,138.5,146.6,154.3,152.0,155.0,151.0,165.9,153.2,176.3,197.8,84.8,115.3,171.6
ANTIGUA AND BARBUDA,East Asia and the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.4,1.5,2.0,2.0,2.1,2.2,2.3,2.8,1.0,0.6,1.2
ANTIGUA AND BARBUDA,Europe,84.0,88.0,90.0,88.0,87.0,90.0,78.0,82.0,99.0,113.0,108.0,107.0,115.0,110.0,93.4,89.0,92.0,90.0,88.0,91.0,96.0,96.1,90.5,88.8,98.2,38.5,52.6,90.1
ANTIGUA AND BARBUDA,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.1,0.5,0.0,0.1,0.3
ANTIGUA AND BARBUDA,South Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.6,0.7,1.0,0.2,0.3,0.8
