Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALBANIA,Air,45.0,39.0,32.0,79.0,86.0,72.0,91.0,80.0,87.0,103.0,128.0,151.0,182.0,206.0,227.0,246.0,267.0,273.0,314.0,337.2,401.0,457.0,577.8,691.6,783.9,269.8,764.7,1250.0
ALBANIA,Water,83.0,78.0,19.0,33.0,152.0,79.0,103.0,111.0,120.0,139.0,130.0,141.0,162.0,189.0,215.0,216.0,191.0,180.0,182.0,198.0,211.0,276.0,393.0,439.3,468.4,64.1,205.9,383.9
ALBANIA,Land,176.0,170.0,68.0,72.0,133.0,166.0,160.0,279.0,351.0,404.0,490.0,645.0,782.0,1024.0,1414.0,1955.0,2474.0,3061.0,2760.0,3137.5,3519.0,4003.0,4146.8,4795.9,5153.8,2323.9,4718.1,5909.9
ALGERIA,Air,346.0,370.0,343.0,0.0,369.0,382.0,403.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALGERIA,Water,110.0,172.0,107.0,0.0,196.0,201.0,203.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALGERIA,Land,63.0,63.0,184.0,0.0,184.0,283.0,295.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMERICAN SAMOA,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,20.1,19.6,19.3,19.3,17.6,16.6,16.4,15.8,16.4,17.4,0.0,0.0,0.0,0.0
AMERICAN SAMOA,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.5,3.5,3.3,3.3,3.2,5.0,3.9,4.3,3.6,2.8,0.0,0.0,0.0,0.0
ANDORRA,Land,0.0,0.0,0.0,0.0,9422.0,10991.0,11351.0,11507.0,11601.0,11668.0,11049.0,10737.0,10743.0,10194.0,9112.0,8551.0,7983.0,7900.0,7676.0,7797.0,7850.0,8025.0,8152.0,8328.0,8235.0,5207.0,5422.0,8426.7
ANGOLA,Air,9.0,20.0,44.0,51.0,43.0,48.0,58.0,61.0,83.0,144.0,153.0,120.0,172.0,294.0,366.0,425.0,481.0,528.0,650.0,595.0,592.0,397.0,261.0,218.0,218.0,64.0,64.0,130.0
ANGOLA,Water,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGOLA,Land,0.0,1.0,1.0,0.0,2.0,2.0,8.0,27.0,21.0,46.0,52.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGUILLA,Air,29.0,28.0,33.0,29.0,29.0,28.0,32.0,30.0,28.0,24.0,32.0,33.0,35.0,27.0,17.0,17.0,18.0,15.0,15.0,14.0,13.0,13.1,13.1,13.4,16.7,5.2,7.8,28.1
ANGUILLA,Water,78.0,58.0,81.0,85.0,78.0,84.0,73.0,81.0,81.0,97.0,111.0,134.0,129.0,101.0,95.0,101.0,106.0,114.0,136.0,163.0,173.0,162.9,137.5,74.0,149.7,35.9,20.9,67.6
ANTIGUA AND BARBUDA,Air,191.0,202.0,211.0,204.0,208.0,207.0,193.0,198.0,224.0,246.0,245.0,254.0,262.0,266.0,234.0,230.0,241.0,247.0,243.0,249.0,250.0,265.0,247.3,269.0,301.0,125.1,169.4,265.0
ANTIGUA AND BARBUDA,Water,227.0,270.0,286.0,336.0,328.0,427.0,409.0,310.0,384.0,523.0,467.0,584.0,673.0,597.0,710.0,558.0,606.5,572.0,534.0,522.0,644.0,609.0,793.0,795.0,734.0,150.8,80.6,377.0
