Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
4,0,4-0,AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.1,4-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
8,0,8-0,ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.1,8-1.1,,,Total arrivals,,,Thousands,1/ 2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,1127,1420,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,7543.8,
12,0,12-0,ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.1,12-1.1,,,Total arrivals,,,Thousands,1/,VF,520,605,635,678,749,866,901,988,1166,1234,1443,1638,1743,1772,1912,2070,2395,2634,2733,2301,1710,2039,2451,2657,2371,591,125,1398,
16,0,16-0,AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.1,16-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3,41.3,50.2,49.3,51.6,47.1,38.3,42.3,51.8,58.6,..,..,..,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.1,20-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,9422,10991,11351,11507,11601,11668,11049,10737,10743,10194,9112,8551,7983,7900,7676,7797,7850,8025,8152,8328,8235,5207,5422,8426.7,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.1,24-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.1,660-1.1,,,Total arrivals,,,Thousands,,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41.1,28.7,95.8,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
